Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10u","C_0603_1608Metric",64.500000,-60.125000,-90.000000,top
"C2","100n","C_0603_1608Metric",67.000000,-60.125000,-90.000000,top
"C3","1u","C_0603_1608Metric",79.500000,-58.625000,90.000000,top
"C4","470u","C_Elec_10x10.2",107.250000,-41.625000,0.000000,top
"C5","10n","C_0603_1608Metric",113.250000,-57.250000,180.000000,top
"C6","10u","C_0603_1608Metric",121.000000,-61.500000,-90.000000,top
"C7","100u","CP_Radial_D5.0mm_P2.00mm",113.750000,-70.750000,-90.000000,top
"C8","22u","C_0805_2012Metric",118.000000,-65.750000,0.000000,top
"C9","22u","C_0805_2012Metric",122.250000,-65.750000,180.000000,top
"C10","100n","C_0603_1608Metric",105.750000,-83.625000,0.000000,top
"C11","100n","C_0603_1608Metric",79.250000,-70.000000,-90.000000,top
"C12","100n","C_0603_1608Metric",76.750000,-83.750000,0.000000,top
"C13","100n","C_0603_1608Metric",73.500000,-71.125000,0.000000,top
"C14","100n","C_0603_1608Metric",73.500000,-69.125000,0.000000,top
"C16","10u","C_0603_1608Metric",71.750000,-50.875000,180.000000,top
"C17","2.2u","C_0603_1608Metric",80.250000,-77.650000,-90.000000,top
"C18","100n","C_0603_1608Metric",73.000000,-65.750000,180.000000,top
"C19","22n","C_0805_2012Metric",77.000000,-81.500000,180.000000,top
"C20","10u","C_0603_1608Metric",80.750000,-53.875000,-90.000000,top
"C21","100n","C_0603_1608Metric",83.000000,-53.875000,-90.000000,top
"C22","10u","C_0603_1608Metric",82.250000,-57.625000,180.000000,top
"C23","100n","C_0603_1608Metric",82.250000,-59.625000,180.000000,top
"D1","SS34","D_SMA",62.000000,-65.625000,90.000000,top
"D2","SS34","D_SMA",95.500000,-52.625000,90.000000,top
"D3","LED XH-2A","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",104.250000,-52.125000,180.000000,top
"D4","SS34","D_SMA",108.750000,-60.500000,-90.000000,top
"D5","B5819W SL","D_SOD-123",76.500000,-50.375000,180.000000,top
"D6","LESD5D5.0CT1G","D_SOD-523",69.000000,-46.375000,90.000000,top
"D7","LESD5D5.0CT1G","D_SOD-523",85.000000,-49.875000,180.000000,top
"D8","LESD5D5.0CT1G","D_SOD-523",81.750000,-49.875000,180.000000,top
"J1","XH-3A","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",121.025000,-70.250000,-90.000000,top
"J2","Pin_Breakout","PinHeader_1x02_P2.54mm_Vertical",84.500000,-81.085000,0.000000,top
"J3","Pin_Breakout","PinHeader_1x02_P2.54mm_Vertical",87.150000,-81.085000,0.000000,top
"J4","DC-005B-2.5A-2.0","BarrelJack_Horizontal",94.250000,-45.375000,-90.000000,top
"J5","USB B","USB_B_OST_USB-B1HSxx_Horizontal",75.750000,-46.710000,90.000000,top
"J6","FOCUS XH-4A","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",63.750000,-72.625000,-90.000000,top
"L1","15u","L_6.3x6.3_H3",120.250000,-54.250000,0.000000,top
"Q1","AO3400A","SOT-23",111.000000,-50.125000,90.000000,top
"R1","1k","R_0603_1608Metric",82.500000,-71.450000,-90.000000,top
"R2","4k7","R_0603_1608Metric",95.000000,-78.875000,0.000000,top
"R3","4k7","R_0603_1608Metric",81.750000,-74.125000,0.000000,top
"R4","220R","R_0805_2012Metric",108.750000,-54.250000,90.000000,top
"R5","10k","R_0603_1608Metric",112.000000,-53.625000,180.000000,top
"R6","4k7","R_0603_1608Metric",115.250000,-78.125000,0.000000,top
"R7","4k7","R_0603_1608Metric",112.500000,-79.375000,-90.000000,top
"R8","4k7","R_0603_1608Metric",111.750000,-82.875000,-90.000000,top
"R9","10k","R_0603_1608Metric",101.250000,-83.375000,-90.000000,top
"R10","10k","R_0603_1608Metric",113.750000,-67.500000,180.000000,top
"R11","2.2k","R_0603_1608Metric",113.750000,-65.500000,0.000000,top
"R12","10k","R_0603_1608Metric",80.250000,-62.875000,90.000000,top
"R13","100m","R_1206_3216Metric",68.500000,-72.625000,-90.000000,top
"R14","100m","R_1206_3216Metric",68.500000,-80.125000,-90.000000,top
"SW1","TS1101A26025","SW_SPST_6x3.5mm",109.225000,-80.675000,180.000000,top
"SW2","TS1101A26025","SW_SPST_6x3.5mm",69.500000,-62.875000,0.000000,top
"U1","XH-3A","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",92.000000,-82.600000,0.000000,top
"U2","ESP32-S3-WROOM-1U-N8","XCVR_ESP32-S3-WROOM-1U-N4R2",94.000000,-67.375000,0.000000,top
"U3","M24C64-RMN6TP","SOIC-8_3.9x4.9mm_P1.27mm",117.500000,-82.125000,180.000000,top
"U4","TPS5430DDAR","TI_SO-PowerPAD-8_ThermalVias",115.500000,-61.250000,0.000000,top
"U5","TMC2209-LA-T","QFN50P500X500X90-29N",75.750000,-76.375000,90.000000,top
"U6","AMS1117-3.3","SOT-223-3_TabPin2",72.750000,-56.125000,180.000000,top
